Jakarta EE 10
=============

JAR Files
---------
List of JAR files found in classpath.

Artifact                          | Version | Source                                                                | Size    | Classes | Resources | Checksum (SHA-1)                         | Coordinates
----------------------------------+---------+-----------------------------------------------------------------------+---------+---------+-----------+------------------------------------------+----------------------------------------------------------------------
jakarta.activation-api            | 2.1.3   | jakarta.activation:jakarta.activation-api:2.1.3                       | 65.0 KB | 45      | 0         | fa165bd70cda600368eee31555222776a46b881f | jakarta.activation:jakarta.activation-api:2.1.3
jakarta.annotation-api            | 2.1.1   | jakarta.annotation:jakarta.annotation-api:2.1.1                       | 25.5 KB | 17      | 0         | 48b9bda22b091b1f48b13af03fe36db3be6e1ae3 | jakarta.annotation:jakarta.annotation-api:2.1.1
                                  |         |                                                                       |         |         |           |                                          | one.gfw:jakarta.annotation-api:2.1.1
jakarta.authentication-api        | 3.0.0   | jakarta.authentication:jakarta.authentication-api:3.0.0               | 44.2 KB | 35      | 5         | e1e3503070dcddcc9e24a062f734069446a99bc3 | jakarta.authentication:jakarta.authentication-api:3.0.0
jakarta.authorization-api         | 2.1.0   | jakarta.authorization:jakarta.authorization-api:2.1.0                 | 45.6 KB | 14      | 1         | 31be189d7aa43710ac9a2ee422de3df1314deea8 | jakarta.authorization:jakarta.authorization-api:2.1.0
jakarta.batch-api                 | 2.1.1   | jakarta.batch:jakarta.batch-api:2.1.1                                 | 44.6 KB | 60      | 2         | dfd728f3fc2f086484410ba2e5d06a26a371ed1d | jakarta.batch:jakarta.batch-api:2.1.1
jakarta.ejb-api                   | 4.0.1   | jakarta.ejb:jakarta.ejb-api:4.0.1                                     | 60.4 KB | 81      | 3         | 70f6c55dad415f58b8428ae4bb215484368b8764 | jakarta.ejb:jakarta.ejb-api:4.0.1
jakarta.el-api                    | 5.0.1   | jakarta.el:jakarta.el-api:5.0.1                                       | 86.2 KB | 52      | 1         | 6f46fb9143b18b7956806a657275fc41376d1a50 | jakarta.el:jakarta.el-api:5.0.1
jakarta.enterprise.concurrent-api | 3.0.4   | jakarta.enterprise.concurrent:jakarta.enterprise.concurrent-api:3.0.4 | 43.2 KB | 30      | 0         | d38e80ed9112c98a51f03a06a520cce00dd74d30 | jakarta.enterprise.concurrent:jakarta.enterprise.concurrent-api:3.0.4
jakarta.enterprise.cdi-api        | 4.0.1   | jakarta.enterprise:jakarta.enterprise.cdi-api:4.0.1                   | 148 KB  | 183     | 5         | 2012f388c6de83e29101cbf82c3ed2bd37931c64 | jakarta.enterprise:jakarta.enterprise.cdi-api:4.0.1
jakarta.faces-api                 | 4.0.1   | jakarta.faces:jakarta.faces-api:4.0.1                                 | 702 KB  | 499     | 21        | c000786f025a6c09b26dbb8288a4c73452a679ac | jakarta.faces:jakarta.faces-api:4.0.1
jakarta.inject-api                | 2.0.1   | jakarta.inject:jakarta.inject-api:2.0.1                               | 10.4 KB | 6       | 0         | 4c28afe1991a941d7702fe1362c365f0a8641d1e | jakarta.inject:jakarta.inject-api:2.0.1
jakarta.interceptor-api           | 2.1.0   | jakarta.interceptor:jakarta.interceptor-api:2.1.0                     | 24.7 KB | 10      | 1         | 1d06a662708601400af4556577ee514c4ad01549 | jakarta.interceptor:jakarta.interceptor-api:2.1.0
jakarta.jms-api                   | 3.1.0   | jakarta.jms:jakarta.jms-api:3.1.0                                     | 57.6 KB | 81      | 0         | e194cf91a3f908e4846542849ac11a8e0b3c68ad | jakarta.jms:jakarta.jms-api:3.1.0
jakarta.json.bind-api             | 3.0.1   | jakarta.json.bind:jakarta.json.bind-api:3.0.1                         | 37.1 KB | 28      | 0         | af7f10b8aa6475b6f6cc9d47ad85748629d05b79 | jakarta.json.bind:jakarta.json.bind-api:3.0.1
jakarta.json-api                  | 2.1.3   | jakarta.json:jakarta.json-api:2.1.3                                   | 47.5 KB | 36      | 0         | 4febd83e1d9d1561d078af460ecd19532383735c | jakarta.json:jakarta.json-api:2.1.3
jakarta.jws-api                   | 3.0.0   | jakarta.jws:jakarta.jws-api:3.0.0                                     | 16.3 KB | 14      | 2         | af8955221689acfde96fbd4b2c1c270589bc6903 | jakarta.jws:jakarta.jws-api:3.0.0
jakarta.mail-api                  | 2.1.3   | jakarta.mail:jakarta.mail-api:2.1.3                                   | 231 KB  | 149     | 0         | a327aa5f514ba86e80d54584417d7376ed2bde0e | jakarta.mail:jakarta.mail-api:2.1.3
jakarta.mvc-api                   | 2.1.0   | jakarta.mvc:jakarta.mvc-api:2.1.0                                     | 34.2 KB | 29      | 5         | e0e4b626aa77665673602128bee749485cb5fef1 | jakarta.mvc:jakarta.mvc-api:2.1.0
jakarta.persistence-api           | 3.1.0   | jakarta.persistence:jakarta.persistence-api:3.1.0                     | 161 KB  | 206     | 5         | 66901fa1c373c6aff65c13791cc11da72060a8d6 | jakarta.persistence:jakarta.persistence-api:3.1.0
jakarta.resource-api              | 2.1.0   | jakarta.resource:jakarta.resource-api:2.1.0                           | 63.7 KB | 89      | 0         | d98f0ac826cdc85f80061c21bc061841ac6d374c | jakarta.resource:jakarta.resource-api:2.1.0
jakarta.security.enterprise-api   | 3.0.0   | jakarta.security.enterprise:jakarta.security.enterprise-api:3.0.0     | 83.3 KB | 54      | 6         | ca9d8039c16db579b7d45813015c8d677105bc0f | jakarta.security.enterprise:jakarta.security.enterprise-api:3.0.0
jakarta.servlet.jsp.jstl-api      | 3.0.2   | jakarta.servlet.jsp.jstl:jakarta.servlet.jsp.jstl-api:3.0.2           | 45.0 KB | 20      | 0         | 3993114cd341afa42b2c2841c88ef653fa7ef3ee | jakarta.servlet.jsp.jstl:jakarta.servlet.jsp.jstl-api:3.0.2
jakarta.servlet.jsp-api           | 3.1.0   | jakarta.servlet.jsp:jakarta.servlet.jsp-api:3.1.0                     | 69.5 KB | 59      | 1         | ea5fe947c87c9603db997f708587270593164a1e | jakarta.servlet.jsp:jakarta.servlet.jsp-api:3.1.0
jakarta.servlet-api               | 6.0.0   | jakarta.servlet:jakarta.servlet-api:6.0.0                             | 339 KB  | 84      | 59        | abecc699286e65035ebba9844c03931357a6a963 | jakarta.servlet:jakarta.servlet-api:6.0.0
jakarta.transaction-api           | 2.0.0   | jakarta.transaction:jakarta.transaction-api:2.0.0                     | 27.3 KB | 19      | 1         | 24a0525b4acfbca4086d2f1278be3a084fe1c67d | jakarta.transaction:jakarta.transaction-api:2.0.0
jakarta.validation-api            | 3.0.0   | jakarta.validation:jakarta.validation-api:3.0.0                       | 90.5 KB | 143     | 0         | 8c8eecc40da64037d7731356511c568d466f8480 | jakarta.validation:jakarta.validation-api:3.0.0
jakarta.websocket-api             | 2.1.0   | jakarta.websocket:jakarta.websocket-api:2.1.0                         | 23.3 KB | 9       | 0         | 9b2b5363ead21c4480e37ec15378583e11d3a823 | jakarta.websocket:jakarta.websocket-api:2.1.0
jakarta.websocket-client-api      | 2.1.0   | jakarta.websocket:jakarta.websocket-client-api:2.1.0                  | 40.8 KB | 45      | 0         | ac185d7945d4c0a501b79ae003d9f8d9a1ae7eff | jakarta.websocket:jakarta.websocket-client-api:2.1.0
jakarta.ws.rs-api                 | 3.1.0   | jakarta.ws.rs:jakarta.ws.rs-api:3.1.0                                 | 151 KB  | 149     | 0         | 15ce10d249a38865b58fc39521f10f29ab0e3363 | jakarta.ws.rs:jakarta.ws.rs-api:3.1.0
jakarta.xml.bind-api              | 4.0.2   | jakarta.xml.bind:jakarta.xml.bind-api:4.0.2                           | 128 KB  | 108     | 6         | 6cd5a999b834b63238005b7144136379dc36cad2 | jakarta.xml.bind:jakarta.xml.bind-api:4.0.2
jakarta.xml.soap-api              | 3.0.2   | jakarta.xml.soap:jakarta.xml.soap-api:3.0.2                           | 37.1 KB | 32      | 0         | 0445830286faf84fe40a3f47ccd7537d69cd58c4 | jakarta.xml.soap:jakarta.xml.soap-api:3.0.2
jakarta.xml.ws-api                | 4.0.2   | jakarta.xml.ws:jakarta.xml.ws-api:4.0.2                               | 75.8 KB | 79      | 4         | 331ecab874ee75b48db661a331319958cb04edec | jakarta.xml.ws:jakarta.xml.ws-api:4.0.2
Classpath                         | -       | -                                                                     | 2.99 MB | 2465    | 128       | -                                        | -

JAR Manifests
-------------
Information found in META-INF/MANIFEST.MF.

Artifact                          | General                                       | Runtime | Implementation                  | Specification                    | Signature
                                  | Created-By: Apache Maven Bundle Plugin 5.1.4  |         |                                 | Vendor: Eclipse Foundation       |
                                  | Build-Jdk-Spec: 11                            |         |                                 |                                  |
                                  | Extension-Name: jakarta.persistence           |         |                                 |                                  |
jakarta.resource-api              | Manifest-Version: 1.0                         |         | Version: 2.1.0                  | Version: 2.1                     |
                                  | Bnd-LastModified: 1650564122988               |         | Vendor: Eclipse Foundation      | Vendor: Jakarta Connectors       |
                                  | Created-By: Apache Maven Bundle Plugin        |         | Vendor ID: org.glassfish        |                                  |
                                  | Extension-Name: jakarta.resource              |         |                                 |                                  |
                                  | Tool: Bnd-5.1.1.202006162103                  |         |                                 |                                  |
jakarta.security.enterprise-api   | Manifest-Version: 1.0                         |         | Version: 3.0.0                  | Version: 3.0                     |
                                  | Bnd-LastModified: 1648233951415               |         | Vendor: Eclipse Foundation      | Vendor: Oracle Corporation       |
                                  | Build-Jdk-Spec: 11                            |         |                                 |                                  |
                                  | Created-By: Apache Maven Bundle Plugin 5.1.4  |         |                                 |                                  |
                                  | Extension-Name: jakarta.security.enterprise   |         |                                 |                                  |
                                  | Tool: Bnd-5.1.1.202006162103                  |         |                                 |                                  |
jakarta.servlet.jsp.jstl-api      | Manifest-Version: 1.0                         |         | Version: 3.0.2                  | Version: 3.0                     |
                                  | Created-By: Apache Maven Bundle Plugin        |         | Vendor: Eclipse Foundation      | Vendor: Eclipse Foundation       |
                                  | Build-Jdk-Spec: 11                            |         | Vendor ID: org.glassfish        |                                  |
                                  | Bnd-LastModified: 1724345517089               |         |                                 |                                  |
                                  | Extension-Name: jakarta.servlet.jsp.jstl      |         |                                 |                                  |
                                  | Tool: Bnd-5.1.1.202006162103                  |         |                                 |                                  |
jakarta.servlet.jsp-api           | Manifest-Version: 1.0                         |         | Version: 3.1.0                  | Version: 3.1                     |
                                  | Created-By: Apache Maven Bundle Plugin        |         | Vendor: Eclipse Foundation      | Vendor: Eclipse Foundation       |
                                  | Build-Jdk-Spec: 11                            |         |                                 |                                  |
                                  | Bnd-LastModified: 1650567672923               |         |                                 |                                  |
                                  | Extension-Name: jakarta.servlet.jsp           |         |                                 |                                  |
                                  | Tool: Bnd-5.1.1.202006162103                  |         |                                 |                                  |
jakarta.servlet-api               | Manifest-Version: 1.0                         |         | Version: 6.0.0                  | Version: 6.0                     |
                                  | Created-By: Apache Maven Bundle Plugin        |         | Vendor: Eclipse Foundation      | Vendor: Eclipse Foundation       |
                                  | Build-Jdk-Spec: 11                            |         | Vendor ID: org.eclipse          |                                  |
                                  | Bnd-LastModified: 1652339954197               |         |                                 |                                  |
                                  | Build-Jdk: 11.0.2                             |         |                                 |                                  |
                                  | Built-By: jenkins                             |         |                                 |                                  |
                                  | Extension-Name: jakarta.servlet               |         |                                 |                                  |
                                  | Tool: Bnd-5.1.1.202006162103                  |         |                                 |                                  |
jakarta.transaction-api           | Manifest-Version: 1.0                         |         | Version: 2.0.0                  | Version: 2.0                     |
                                  | Automatic-Module-Name: jakarta.transaction    |         | Vendor: EE4J Community          | Vendor: Oracle Corporation       |
                                  | Archiver-Version: Plexus Archiver             |         | Vendor ID: org.glassfish        |                                  |
                                  | Built-By: jenkins                             |         |                                 |                                  |
                                  | Bnd-LastModified: 1601380706017               |         |                                 |                                  |
                                  | Tool: Bnd-0.0.255                             |         |                                 |                                  |
                                  | Extension-Name: jakarta.transaction           |         |                                 |                                  |
                                  | Created-By: 1.8.0_202 (Oracle Corporation)    |         |                                 |                                  |
                                  | Build-Jdk: 1.8.0_202                          |         |                                 |                                  |
jakarta.validation-api            | Manifest-Version: 1.0                         |         |                                 |                                  |
                                  | Automatic-Module-Name: jakarta.validation     |         |                                 |                                  |
                                  | Built-By: jenkins                             |         |                                 |                                  |
                                  | Bnd-LastModified: 1593873743039               |         |                                 |                                  |
                                  | Tool: Bnd-3.2.0.201605172007                  |         |                                 |                                  |
                                  | Created-By: Apache Maven Bundle Plugin        |         |                                 |                                  |
                                  | Build-Jdk: 1.8.0_202                          |         |                                 |                                  |
jakarta.websocket-api             | Manifest-Version: 1.0                         |         | Version: 2.1.0                  | Version: 2.1                     |
                                  | Created-By: Apache Maven Bundle Plugin        |         | Vendor: Eclipse Foundation      | Vendor: Eclipse Foundation       |
                                  | Built-By: jenkins                             |         |                                 |                                  |
                                  | Build-Jdk: 11.0.2                             |         |                                 |                                  |
                                  | Bnd-LastModified: 1643013688235               |         |                                 |                                  |
                                  | Build-Jdk-Spec: 11                            |         |                                 |                                  |
                                  | Extension-Name: jakarta.websocket             |         |                                 |                                  |
                                  | Tool: Bnd-5.1.1.202006162103                  |         |                                 |                                  |
jakarta.websocket-client-api      | Manifest-Version: 1.0                         |         | Version: 2.1.0                  | Version: 2.1                     |
                                  | Created-By: Apache Maven Bundle Plugin        |         | Vendor: Eclipse Foundation      | Vendor: Eclipse Foundation       |
                                  | Built-By: jenkins                             |         |                                 |                                  |
                                  | Build-Jdk: 11.0.2                             |         |                                 |                                  |
                                  | Bnd-LastModified: 1643013674134               |         |                                 |                                  |
                                  | Build-Jdk-Spec: 11                            |         |                                 |                                  |
                                  | Extension-Name: jakarta.websocket-client      |         |                                 |                                  |
                                  | Tool: Bnd-5.1.1.202006162103                  |         |                                 |                                  |
jakarta.ws.rs-api                 | Manifest-Version: 1.0                         |         | Version: 3.1.0                  | Version: 3.1                     |
                                  | Bnd-LastModified: 1646083755769               |         |                                 | Vendor: Eclipse Foundation       |
                                  | Build-Id: 02/28/2022 09:28 PM                 |         |                                 |                                  |
                                  | Build-Jdk: 11.0.2                             |         |                                 |                                  |
                                  | Built-By: jenkins                             |         |                                 |                                  |
                                  | Created-By: Apache Maven Bundle Plugin        |         |                                 |                                  |
                                  | Extension-Name: jakarta.ws.rs                 |         |                                 |                                  |
                                  | Tool: Bnd-5.1.1.202006162103                  |         |                                 |                                  |
jakarta.xml.bind-api              | Manifest-Version: 1.0                         |         | Version: 4.0.2                  | Version: 4.0                     |
                                  | Created-By: Apache Maven Bundle Plugin 5.1.9  |         | Build ID: ca43d8b               | Vendor: Eclipse Foundation       |
                                  | Extension-Name: jakarta.xml.bind              |         |                                 |                                  |
jakarta.xml.soap-api              | Manifest-Version: 1.0                         |         | Version: 3.0.2                  | Version: 3.0                     |
                                  | Created-By: Apache Maven Bundle Plugin 5.1.9  |         | Build ID: 03ea41a               | Vendor: Eclipse Foundation       |
                                  | Extension-Name: jakarta.xml.soap              |         |                                 |                                  |
jakarta.xml.ws-api                | Manifest-Version: 1.0                         |         | Version: 4.0.2                  | Version: 4.0                     |
                                  | Created-By: Apache Maven Bundle Plugin 5.1.9  |         | Build ID: 4.0.2-RELEASE-a70d205 | Vendor: Eclipse Foundation       |
                                  | Build-Jdk-Spec: 21                            |         | Vendor: Eclipse Foundation      |                                  |
                                  | Extension-Name: jakarta.xml.ws                |         |                                 |                                  |

JPMS Modules
------------
List of Java Modules found in classpath.

Artifact                          | Module name                   | Definition     | Automatic | Requires                      | Exports
----------------------------------+-------------------------------+----------------+-----------+-------------------------------+-----------------------------------------------------------------
jakarta.activation-api            | jakarta.activation            | Module-Info    | No        | java.desktop                  | jakarta.activation
                                  |                               |                |           | java.logging                  | jakarta.activation.spi
                                  |                               |                |           | java.base                     |
jakarta.annotation-api            | jakarta.annotation            | Module-Info    | No        | java.base                     | jakarta.annotation
                                  |                               |                |           |                               | jakarta.annotation.security
                                  |                               |                |           |                               | jakarta.annotation.sql
jakarta.authentication-api        | jakarta.security.auth.message | Module-Info    | No        | java.base                     | jakarta.security.auth.message
                                  |                               |                |           |                               | jakarta.security.auth.message.callback
                                  |                               |                |           |                               | jakarta.security.auth.message.config
                                  |                               |                |           |                               | jakarta.security.auth.message.module
jakarta.authorization-api         | jakarta.security.jacc         | Module-Info    | No        | jakarta.servlet               | jakarta.security.jacc
                                  |                               |                |           | java.base                     |
jakarta.batch-api                 | jakarta.batch                 | Module-Info    | No        | jakarta.cdi                   | jakarta.batch.api
                                  |                               |                |           | jakarta.inject                | jakarta.batch.api.chunk
                                  |                               |                |           | java.base                     | jakarta.batch.api.chunk.listener
                                  |                               |                |           |                               | jakarta.batch.api.listener
                                  |                               |                |           |                               | jakarta.batch.api.partition
                                  |                               |                |           |                               | jakarta.batch.operations
                                  |                               |                |           |                               | jakarta.batch.runtime
                                  |                               |                |           |                               | jakarta.batch.runtime.context
jakarta.ejb-api                   | jakarta.ejb                   | Module-Info    | No        | jakarta.transaction           | jakarta.ejb
                                  |                               |                |           | java.naming                   | jakarta.ejb.embeddable
                                  |                               |                |           | java.rmi                      | jakarta.ejb.spi
                                  |                               |                |           | java.base                     |
jakarta.el-api                    | jakarta.el                    | Module-Info    | No        | java.desktop                  | jakarta.el
                                  |                               |                |           | java.base                     |
jakarta.enterprise.concurrent-api | jakarta.concurrency           | Module-Info    | No        | jakarta.cdi                   | jakarta.enterprise.concurrent
                                  |                               |                |           | jakarta.interceptor           | jakarta.enterprise.concurrent.spi
                                  |                               |                |           | java.base                     |
jakarta.enterprise.cdi-api        | jakarta.cdi                   | Module-Info    | No        | jakarta.annotation            | jakarta.decorator
                                  |                               |                |           | jakarta.cdi.lang.model        | jakarta.enterprise.context
                                  |                               |                |           | jakarta.el                    | jakarta.enterprise.context.control
                                  |                               |                |           | jakarta.inject                | jakarta.enterprise.context.spi
                                  |                               |                |           | jakarta.interceptor           | jakarta.enterprise.event
                                  |                               |                |           | java.naming                   | jakarta.enterprise.inject
                                  |                               |                |           | java.base                     | jakarta.enterprise.inject.build.compatible.spi
                                  |                               |                |           |                               | jakarta.enterprise.inject.literal
                                  |                               |                |           |                               | jakarta.enterprise.inject.se
                                  |                               |                |           |                               | jakarta.enterprise.inject.spi
                                  |                               |                |           |                               | jakarta.enterprise.inject.spi.configurator
                                  |                               |                |           |                               | jakarta.enterprise.util
jakarta.faces-api                 | jakarta.faces.api             | Auto-generated | Yes       | -                             | [all packages]
jakarta.inject-api                | jakarta.inject                | Module-Info    | No        | java.base                     | jakarta.inject
jakarta.interceptor-api           | jakarta.interceptor           | Module-Info    | No        | jakarta.annotation            | jakarta.interceptor
                                  |                               |                |           | java.base                     |
jakarta.jms-api                   | jakarta.messaging             | Module-Info    | No        | jakarta.annotation            | jakarta.jms
                                  |                               |                |           | java.transaction.xa           |
                                  |                               |                |           | java.base                     |
jakarta.json.bind-api             | jakarta.json.bind             | Module-Info    | No        | jakarta.json                  | jakarta.json.bind
                                  |                               |                |           | java.logging                  | jakarta.json.bind.adapter
                                  |                               |                |           | java.base                     | jakarta.json.bind.annotation
                                  |                               |                |           |                               | jakarta.json.bind.config
                                  |                               |                |           |                               | jakarta.json.bind.serializer
                                  |                               |                |           |                               | jakarta.json.bind.spi
jakarta.json-api                  | jakarta.json                  | Module-Info    | No        | java.logging                  | jakarta.json
                                  |                               |                |           | java.base                     | jakarta.json.spi
                                  |                               |                |           |                               | jakarta.json.stream
jakarta.jws-api                   | jakarta.jws                   | Module-Info    | No        | java.base                     | jakarta.jws
                                  |                               |                |           |                               | jakarta.jws.soap
jakarta.mail-api                  | jakarta.mail                  | Module-Info    | No        | jakarta.activation            | jakarta.mail
                                  |                               |                |           | java.desktop                  | jakarta.mail.event
                                  |                               |                |           | java.logging                  | jakarta.mail.internet
                                  |                               |                |           | java.base                     | jakarta.mail.search
                                  |                               |                |           |                               | jakarta.mail.util
jakarta.mvc-api                   | jakarta.mvc                   | Module-Info    | No        | jakarta.annotation            | jakarta.mvc
                                  |                               |                |           | jakarta.cdi                   | jakarta.mvc.binding
                                  |                               |                |           | jakarta.validation            | jakarta.mvc.engine
                                  |                               |                |           | jakarta.ws.rs                 | jakarta.mvc.event
                                  |                               |                |           | java.base                     | jakarta.mvc.form
                                  |                               |                |           |                               | jakarta.mvc.locale
                                  |                               |                |           |                               | jakarta.mvc.security
jakarta.persistence-api           | jakarta.persistence           | Module-Info    | No        | java.logging                  | jakarta.persistence
                                  |                               |                |           | java.sql                      | jakarta.persistence.criteria
                                  |                               |                |           | java.base                     | jakarta.persistence.metamodel
                                  |                               |                |           |                               | jakarta.persistence.spi
jakarta.resource-api              | jakarta.resource              | Module-Info    | No        | jakarta.annotation            | jakarta.resource
                                  |                               |                |           | jakarta.transaction           | jakarta.resource.cci
                                  |                               |                |           | java.desktop                  | jakarta.resource.spi
                                  |                               |                |           | java.naming                   | jakarta.resource.spi.endpoint
                                  |                               |                |           | java.sql                      | jakarta.resource.spi.security
                                  |                               |                |           | java.transaction.xa           | jakarta.resource.spi.work
                                  |                               |                |           | java.base                     |
jakarta.security.enterprise-api   | jakarta.security              | Module-Info    | No        | jakarta.cdi                   | jakarta.security.enterprise
                                  |                               |                |           | jakarta.el                    | jakarta.security.enterprise.authentication.mechanism.http
                                  |                               |                |           | jakarta.json                  | jakarta.security.enterprise.authentication.mechanism.http.openid
                                  |                               |                |           | jakarta.security.auth.message | jakarta.security.enterprise.credential
                                  |                               |                |           | jakarta.servlet               | jakarta.security.enterprise.identitystore
                                  |                               |                |           | java.base                     | jakarta.security.enterprise.identitystore.openid
jakarta.servlet.jsp.jstl-api      | jakarta.servlet.jsp.jstl      | Module-Info    | No        | jakarta.el                    | jakarta.servlet.jsp.jstl.core
                                  |                               |                |           | jakarta.servlet               | jakarta.servlet.jsp.jstl.fmt
                                  |                               |                |           | jakarta.servlet.jsp           | jakarta.servlet.jsp.jstl.sql
                                  |                               |                |           | java.desktop                  | jakarta.servlet.jsp.jstl.tlv
                                  |                               |                |           | java.sql                      |
